"source_file","file_name","file_size","file_size_label"
"ArelBundock.Rmd","ArelBundock.rds",377268,"368 KB"
"Askarov.Rmd","Askarov.rds",1287793,"1.2 MB"
"BarnettWren.Rmd","BarnettWren.rds",16582716,"16 MB"
"Bartos.Rmd","Bartos.rds",84827,"83 KB"
"Brodeur.Rmd","Brodeur.rds",838802,"819 KB"
"Chavalarias.Rmd","Chavalarias.rds",25642093,"24 MB"
"clinicaltrials_gov.Rmd","clinicaltrialsgov.rds",17270299,"16 MB"
"Cochrane.Rmd","Cochrane.rds",44789662,"43 MB"
"CostelloFox_Yang.Rmd","CostelloFox.rds",2392450,"2.3 MB"
"CostelloFox_Yang.Rmd","Yang.rds",261292,"255 KB"
"EUCTR.Rmd","euctr.rds",1964989,"1.9 MB"
"Head.Rmd","Head.rds",9442790,"9.0 MB"
"JagerLeek.Rmd","JagerLeek.rds",338753,"331 KB"
"Lang.Rmd","Lang.rds",263214,"257 KB"
"ManyLabs2.Rmd","ManyLabs2.rds",52791,"52 KB"
"Metapsy.Rmd","Metapsy.rds",90930,"89 KB"
"OSC.Rmd","OSC.rds",80731,"79 KB"
"psymetadata_Nuijten.Rmd","psymetadata.rds",285955,"279 KB"
"SCORE.Rmd","SCORE_all_claims.rds",237524,"232 KB"
"SCORE.Rmd","SCORE_replications.rds",47993,"47 KB"
"Sladekova.Rmd","Sladekova.rds",234409,"229 KB"
"Szucs.Rmd","Szucs.rds",521630,"509 KB"
"WWC.Rmd","WWC.rds",1187596,"1.1 MB"
